_id,neighborhood,school,enrolled_students
196,Garfield,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,13
197,Garfield,PITTSBURGH STERRETT 6-8,13
198,Garfield,PITTSBURGH STUDENT ACHIEVEMENT CENTER 6-12,12
199,Garfield,PITTSBURGH WOOLSLAIR PreK-5,12
200,Glen Hazel,PITTSBURGH MIFFLIN PreK-8,27
201,Glen Hazel,Other,25
202,Glen Hazel,PITTSBURGH ALLDERDICE HIGH SCHOOL,18
203,Golden Triangle,Other,18
204,Greenfield,PITTSBURGH GREENFIELD PreK-8,233
205,Greenfield,PITTSBURGH ALLDERDICE HIGH SCHOOL,106
206,Greenfield,Other,51
207,Greenfield,PITTSBURGH CAPA 6-12,35
208,Greenfield,PITTSBURGH MINADEO PreK-5,21
209,Greenfield,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,19
210,Greenfield,PITTSBURGH MONTESSORI PreK-5,11
211,Greenfield,PITTSBURGH OBAMA IB 6-12,11
212,Hays,PITTSBURGH MIFFLIN PreK-8,23
213,Hays,Other,17
214,Hazelwood,PITTSBURGH ALLDERDICE HIGH SCHOOL,146
215,Hazelwood,Other,111
216,Hazelwood,PITTSBURGH MINADEO PreK-5,99
217,Hazelwood,PITTSBURGH STERRETT 6-8,64
218,Hazelwood,PITTSBURGH MIFFLIN PreK-8,62
219,Hazelwood,PITTSBURGH GREENFIELD PreK-8,44
220,Hazelwood,PITTSBURGH CAPA 6-12,15
221,Hazelwood,PITTSBURGH STUDENT ACHIEVEMENT CENTER 6-12,12
222,Hazelwood,PITTSBURGH CARMALT PreK-8,11
223,Hazelwood,PITTSBURGH OBAMA IB 6-12,11
224,Highland Park,PITTSBURGH OBAMA IB 6-12,76
225,Highland Park,Other,68
226,Highland Park,PITTSBURGH DILWORTH PreK-5,61
227,Highland Park,PITTSBURGH FULTON PreK-5,57
228,Highland Park,PITTSBURGH CAPA 6-12,33
229,Highland Park,PITTSBURGH ALLDERDICE HIGH SCHOOL,31
230,Highland Park,PITTSBURGH MONTESSORI PreK-5,29
231,Highland Park,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,19
232,Highland Park,PITTSBURGH WESTINGHOUSE ACADEMY 6-12,14
233,Highland Park,PITTSBURGH MONTESSORI EARLY CHILDHOOD,13
234,Highland Park,PITTSBURGH LIBERTY K-5,11
235,Homewood North,PITTSBURGH FAISON K-5,177
236,Homewood North,Other,123
237,Homewood North,PITTSBURGH WESTINGHOUSE ACADEMY 6-12,123
238,Homewood North,PITTSBURGH OBAMA IB 6-12,47
239,Homewood North,PITTSBURGH STERRETT 6-8,31
240,Homewood North,PITTSBURGH CRESCENT EARLY CHILDHOOD,24
241,Homewood North,PITTSBURGH FULTON PreK-5,21
242,Homewood North,PITTSBURGH DILWORTH PreK-5,18
243,Homewood North,PITTSBURGH LIBERTY K-5,13
244,Homewood North,PITTSBURGH LINDEN K-5,12
245,Homewood South,PITTSBURGH FAISON K-5,118
246,Homewood South,Other,88
247,Homewood South,PITTSBURGH WESTINGHOUSE ACADEMY 6-12,71
248,Homewood South,PITTSBURGH OBAMA IB 6-12,31
249,Homewood South,PITTSBURGH CRESCENT EARLY CHILDHOOD,29
250,Homewood South,PITTSBURGH STERRETT 6-8,29
251,Homewood South,PITTSBURGH MINADEO PreK-5,27
252,Homewood South,PITTSBURGH ALLDERDICE HIGH SCHOOL,26
253,Homewood South,PITTSBURGH DILWORTH PreK-5,17
254,Homewood South,PITTSBURGH FULTON PreK-5,14
255,Homewood South,PITTSBURGH LIBERTY K-5,14
256,Homewood South,PITTSBURGH LINDEN K-5,13
257,Homewood West,Other,78
258,Homewood West,PITTSBURGH FAISON K-5,26
259,Homewood West,PITTSBURGH WESTINGHOUSE ACADEMY 6-12,14
260,Knoxville,PITTSBURGH CARRICK HIGH SCHOOL,110
261,Knoxville,Other,103
262,Knoxville,PITTSBURGH ARLINGTON PreK-8,88
263,Knoxville,PITTSBURGH GRANDVIEW PreK-5,49
264,Knoxville,PITTSBURGH ROOSEVELT PreK-5,42
265,Knoxville,PITTSBURGH SOUTH HILLS 6-8,40
266,Knoxville,PITTSBURGH SOUTH BROOK 6-8,36
267,Knoxville,PITTSBURGH CARMALT PreK-8,28
268,Knoxville,PITTSBURGH BRASHEAR HIGH SCHOOL,27
269,Knoxville,PITTSBURGH CONCORD K-5,21
270,Knoxville,PITTSBURGH OBAMA IB 6-12,14
271,Knoxville,PITTSBURGH PHILLIPS K-5,13
272,Knoxville,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,12
273,Knoxville,PITTSBURGH CAPA 6-12,11
274,Knoxville,PITTSBURGH OLIVER CITYWIDE ACADEMY,11
275,Knoxville,PITTSBURGH STUDENT ACHIEVEMENT CENTER 6-12,11
276,Larimer,Other,81
277,Larimer,PITTSBURGH LINCOLN PreK-5,64
